"Notes","County of Residence","County of Residence Code","Month","Month Code",Births
,"Tarrant County, TX","48439","January","1",2267
,"Tarrant County, TX","48439","February","2",2144
,"Tarrant County, TX","48439","March","3",2194
,"Tarrant County, TX","48439","April","4",2232
,"Tarrant County, TX","48439","May","5",2251
,"Tarrant County, TX","48439","June","6",2136
,"Tarrant County, TX","48439","July","7",2405
,"Tarrant County, TX","48439","August","8",2446
,"Tarrant County, TX","48439","September","9",2373
,"Tarrant County, TX","48439","October","10",2472
,"Tarrant County, TX","48439","November","11",2173
,"Tarrant County, TX","48439","December","12",2387
"Total","Tarrant County, TX","48439",,,27480
,"Taylor County, TX","48441","January","1",155
,"Taylor County, TX","48441","February","2",137
,"Taylor County, TX","48441","March","3",156
,"Taylor County, TX","48441","April","4",148
,"Taylor County, TX","48441","May","5",166
,"Taylor County, TX","48441","June","6",156
,"Taylor County, TX","48441","July","7",175
,"Taylor County, TX","48441","August","8",177
,"Taylor County, TX","48441","September","9",172
,"Taylor County, TX","48441","October","10",165
,"Taylor County, TX","48441","November","11",142
,"Taylor County, TX","48441","December","12",173
"Total","Taylor County, TX","48441",,,1922
,"Tom Green County, TX","48451","January","1",122
,"Tom Green County, TX","48451","February","2",112
,"Tom Green County, TX","48451","March","3",112
,"Tom Green County, TX","48451","April","4",138
,"Tom Green County, TX","48451","May","5",127
,"Tom Green County, TX","48451","June","6",87
,"Tom Green County, TX","48451","July","7",128
,"Tom Green County, TX","48451","August","8",135
,"Tom Green County, TX","48451","September","9",139
,"Tom Green County, TX","48451","October","10",117
,"Tom Green County, TX","48451","November","11",127
,"Tom Green County, TX","48451","December","12",136
"Total","Tom Green County, TX","48451",,,1480
,"Travis County, TX","48453","January","1",1410
,"Travis County, TX","48453","February","2",1237
,"Travis County, TX","48453","March","3",1312
,"Travis County, TX","48453","April","4",1230
,"Travis County, TX","48453","May","5",1357
,"Travis County, TX","48453","June","6",1325
,"Travis County, TX","48453","July","7",1490
,"Travis County, TX","48453","August","8",1527
,"Travis County, TX","48453","September","9",1483
,"Travis County, TX","48453","October","10",1489
,"Travis County, TX","48453","November","11",1414
,"Travis County, TX","48453","December","12",1403
"Total","Travis County, TX","48453",,,16677
,"Webb County, TX","48479","January","1",349
,"Webb County, TX","48479","February","2",345
,"Webb County, TX","48479","March","3",308
,"Webb County, TX","48479","April","4",347
,"Webb County, TX","48479","May","5",356
,"Webb County, TX","48479","June","6",315
,"Webb County, TX","48479","July","7",405
,"Webb County, TX","48479","August","8",437
,"Webb County, TX","48479","September","9",356
,"Webb County, TX","48479","October","10",406
,"Webb County, TX","48479","November","11",358
,"Webb County, TX","48479","December","12",396
"Total","Webb County, TX","48479",,,4378
,"Wichita County, TX","48485","January","1",130
,"Wichita County, TX","48485","February","2",101
,"Wichita County, TX","48485","March","3",118
,"Wichita County, TX","48485","April","4",125
,"Wichita County, TX","48485","May","5",133
,"Wichita County, TX","48485","June","6",126
,"Wichita County, TX","48485","July","7",134
,"Wichita County, TX","48485","August","8",147
,"Wichita County, TX","48485","September","9",131
,"Wichita County, TX","48485","October","10",118
,"Wichita County, TX","48485","November","11",105
,"Wichita County, TX","48485","December","12",134
"Total","Wichita County, TX","48485",,,1502
,"Williamson County, TX","48491","January","1",732
,"Williamson County, TX","48491","February","2",704
,"Williamson County, TX","48491","March","3",751
,"Williamson County, TX","48491","April","4",712
,"Williamson County, TX","48491","May","5",810
,"Williamson County, TX","48491","June","6",678
,"Williamson County, TX","48491","July","7",820
,"Williamson County, TX","48491","August","8",872
,"Williamson County, TX","48491","September","9",809
,"Williamson County, TX","48491","October","10",834
,"Williamson County, TX","48491","November","11",793
,"Williamson County, TX","48491","December","12",810
"Total","Williamson County, TX","48491",,,9325
,"Unidentified Counties, TX","48999","January","1",1800
,"Unidentified Counties, TX","48999","February","2",1756
,"Unidentified Counties, TX","48999","March","3",1803
,"Unidentified Counties, TX","48999","April","4",1728
,"Unidentified Counties, TX","48999","May","5",1769
,"Unidentified Counties, TX","48999","June","6",1775
,"Unidentified Counties, TX","48999","July","7",2062
,"Unidentified Counties, TX","48999","August","8",2089
,"Unidentified Counties, TX","48999","September","9",1923
,"Unidentified Counties, TX","48999","October","10",2072
,"Unidentified Counties, TX","48999","November","11",1865
,"Unidentified Counties, TX","48999","December","12",2002
"Total","Unidentified Counties, TX","48999",,,22644
,"Benton County, WA","53005","January","1",203
,"Benton County, WA","53005","February","2",201
,"Benton County, WA","53005","March","3",227
,"Benton County, WA","53005","April","4",201
,"Benton County, WA","53005","May","5",206
,"Benton County, WA","53005","June","6",230
,"Benton County, WA","53005","July","7",235
,"Benton County, WA","53005","August","8",245
,"Benton County, WA","53005","September","9",222
,"Benton County, WA","53005","October","10",223
,"Benton County, WA","53005","November","11",217
,"Benton County, WA","53005","December","12",208
"Total","Benton County, WA","53005",,,2618
,"Clark County, WA","53011","January","1",427
,"Clark County, WA","53011","February","2",478
,"Clark County, WA","53011","March","3",467
,"Clark County, WA","53011","April","4",472
,"Clark County, WA","53011","May","5",482
,"Clark County, WA","53011","June","6",466
,"Clark County, WA","53011","July","7",484
,"Clark County, WA","53011","August","8",536
,"Clark County, WA","53011","September","9",494
,"Clark County, WA","53011","October","10",468
,"Clark County, WA","53011","November","11",444
,"Clark County, WA","53011","December","12",451
"Total","Clark County, WA","53011",,,5669
,"Cowlitz County, WA","53015","January","1",108
,"Cowlitz County, WA","53015","February","2",107
,"Cowlitz County, WA","53015","March","3",101
,"Cowlitz County, WA","53015","April","4",91
,"Cowlitz County, WA","53015","May","5",99
,"Cowlitz County, WA","53015","June","6",100
,"Cowlitz County, WA","53015","July","7",110
,"Cowlitz County, WA","53015","August","8",113
,"Cowlitz County, WA","53015","September","9",97
,"Cowlitz County, WA","53015","October","10",109
,"Cowlitz County, WA","53015","November","11",98
,"Cowlitz County, WA","53015","December","12",107
"Total","Cowlitz County, WA","53015",,,1240
,"King County, WA","53033","January","1",1860
,"King County, WA","53033","February","2",1700
,"King County, WA","53033","March","3",1975
,"King County, WA","53033","April","4",1806
,"King County, WA","53033","May","5",1995
,"King County, WA","53033","June","6",1886
,"King County, WA","53033","July","7",1992
,"King County, WA","53033","August","8",2009
,"King County, WA","53033","September","9",1893
,"King County, WA","53033","October","10",2009
,"King County, WA","53033","November","11",1897
,"King County, WA","53033","December","12",1926
"Total","King County, WA","53033",,,22948
,"Kitsap County, WA","53035","January","1",205
,"Kitsap County, WA","53035","February","2",206
,"Kitsap County, WA","53035","March","3",223
,"Kitsap County, WA","53035","April","4",248
,"Kitsap County, WA","53035","May","5",240
,"Kitsap County, WA","53035","June","6",215
,"Kitsap County, WA","53035","July","7",259
,"Kitsap County, WA","53035","August","8",225
,"Kitsap County, WA","53035","September","9",244
,"Kitsap County, WA","53035","October","10",255
,"Kitsap County, WA","53035","November","11",222
,"Kitsap County, WA","53035","December","12",240
"Total","Kitsap County, WA","53035",,,2782
,"Pierce County, WA","53053","January","1",855
,"Pierce County, WA","53053","February","2",849
,"Pierce County, WA","53053","March","3",873
,"Pierce County, WA","53053","April","4",813
,"Pierce County, WA","53053","May","5",934
,"Pierce County, WA","53053","June","6",907
,"Pierce County, WA","53053","July","7",930
,"Pierce County, WA","53053","August","8",939
,"Pierce County, WA","53053","September","9",845
,"Pierce County, WA","53053","October","10",880
,"Pierce County, WA","53053","November","11",839
,"Pierce County, WA","53053","December","12",854
"Total","Pierce County, WA","53053",,,10518
,"Skagit County, WA","53057","January","1",113
,"Skagit County, WA","53057","February","2",109
,"Skagit County, WA","53057","March","3",111
,"Skagit County, WA","53057","April","4",124
,"Skagit County, WA","53057","May","5",122
,"Skagit County, WA","53057","June","6",102
,"Skagit County, WA","53057","July","7",106
,"Skagit County, WA","53057","August","8",108
,"Skagit County, WA","53057","September","9",105
,"Skagit County, WA","53057","October","10",114
,"Skagit County, WA","53057","November","11",112
,"Skagit County, WA","53057","December","12",104
"Total","Skagit County, WA","53057",,,1330
,"Snohomish County, WA","53061","January","1",749
,"Snohomish County, WA","53061","February","2",777
,"Snohomish County, WA","53061","March","3",824
,"Snohomish County, WA","53061","April","4",798
,"Snohomish County, WA","53061","May","5",869
,"Snohomish County, WA","53061","June","6",831
,"Snohomish County, WA","53061","July","7",874
,"Snohomish County, WA","53061","August","8",913
,"Snohomish County, WA","53061","September","9",844
,"Snohomish County, WA","53061","October","10",838
,"Snohomish County, WA","53061","November","11",782
,"Snohomish County, WA","53061","December","12",750
"Total","Snohomish County, WA","53061",,,9849
,"Spokane County, WA","53063","January","1",467
,"Spokane County, WA","53063","February","2",446
,"Spokane County, WA","53063","March","3",488
,"Spokane County, WA","53063","April","4",491
,"Spokane County, WA","53063","May","5",503
,"Spokane County, WA","53063","June","6",518
,"Spokane County, WA","53063","July","7",536
,"Spokane County, WA","53063","August","8",558
,"Spokane County, WA","53063","September","9",497
,"Spokane County, WA","53063","October","10",549
,"Spokane County, WA","53063","November","11",492
,"Spokane County, WA","53063","December","12",473
"Total","Spokane County, WA","53063",,,6018
,"Thurston County, WA","53067","January","1",239
,"Thurston County, WA","53067","February","2",247
,"Thurston County, WA","53067","March","3",276
,"Thurston County, WA","53067","April","4",216
,"Thurston County, WA","53067","May","5",259
,"Thurston County, WA","53067","June","6",231
,"Thurston County, WA","53067","July","7",237
,"Thurston County, WA","53067","August","8",274
,"Thurston County, WA","53067","September","9",258
,"Thurston County, WA","53067","October","10",290
,"Thurston County, WA","53067","November","11",236
,"Thurston County, WA","53067","December","12",228
"Total","Thurston County, WA","53067",,,2991
,"Whatcom County, WA","53073","January","1",168
,"Whatcom County, WA","53073","February","2",153
,"Whatcom County, WA","53073","March","3",179
,"Whatcom County, WA","53073","April","4",180
,"Whatcom County, WA","53073","May","5",185
,"Whatcom County, WA","53073","June","6",175
,"Whatcom County, WA","53073","July","7",182
,"Whatcom County, WA","53073","August","8",213
,"Whatcom County, WA","53073","September","9",149
,"Whatcom County, WA","53073","October","10",147
,"Whatcom County, WA","53073","November","11",141
,"Whatcom County, WA","53073","December","12",152
"Total","Whatcom County, WA","53073",,,2024
,"Yakima County, WA","53077","January","1",288
,"Yakima County, WA","53077","February","2",257
,"Yakima County, WA","53077","March","3",264
,"Yakima County, WA","53077","April","4",270
,"Yakima County, WA","53077","May","5",298
,"Yakima County, WA","53077","June","6",297
,"Yakima County, WA","53077","July","7",307
,"Yakima County, WA","53077","August","8",327
,"Yakima County, WA","53077","September","9",266
,"Yakima County, WA","53077","October","10",250
,"Yakima County, WA","53077","November","11",281
,"Yakima County, WA","53077","December","12",273
"Total","Yakima County, WA","53077",,,3378
,"Unidentified Counties, WA","53999","January","1",339
,"Unidentified Counties, WA","53999","February","2",295
,"Unidentified Counties, WA","53999","March","3",354
,"Unidentified Counties, WA","53999","April","4",343
,"Unidentified Counties, WA","53999","May","5",378
,"Unidentified Counties, WA","53999","June","6",358
,"Unidentified Counties, WA","53999","July","7",393
,"Unidentified Counties, WA","53999","August","8",379
,"Unidentified Counties, WA","53999","September","9",360
,"Unidentified Counties, WA","53999","October","10",380
,"Unidentified Counties, WA","53999","November","11",328
,"Unidentified Counties, WA","53999","December","12",337
"Total","Unidentified Counties, WA","53999",,,4244
"Total",,,,,1346791
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"2013 Metro/Nonmetro: Metro"
"States: California (06); Florida (12); Illinois (17); New York (36); Texas (48); Washington (53)"
"Year: 2024"
"Group By: County of Residence; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Apr 7, 2026 5:37:04 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Apr 7, 2026 5:37:04 PM"
"---"
Messages:
"1. Rows with zero Births are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"4. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"5. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"6. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"7. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
